path	provenance	license	header_owners	source_reference
aspire/real/cap/saved_scripts/legacy_codes/pick_can_place_on_white_plate_one_shot_loop.py	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/saved_scripts/legacy_codes/pick_cyan_cup_place_on_wooden_rack_top_shelf_one_shot_loop.py	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/saved_scripts/legacy_codes/place_orange_bowl_on_lower_rack_one_shot_loop.py	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/saved_scripts/legacy_codes/place_orange_bowl_on_rack_one_shot_loop.py	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/saved_scripts/legacy_codes/place_white_bowl_on_lower_rack_one_shot_loop.py	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/saved_scripts/legacy_codes/place_white_bowl_on_rack_one_shot_loop.py	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/saved_scripts/legacy_codes/place_white_bowl_on_rack_one_shot_loop_after_analysis.py	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/saved_scripts/legacy_codes/preview_bottle_rack_recovery_waypoints.py	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/saved_scripts/legacy_codes/probe_cup_rack_place_poses.py	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/saved_scripts/legacy_codes/put_down_open_bottle_from_lift_run.py	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/saved_scripts/legacy_codes/recover_held_bottle_to_rack.py	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/saved_scripts/legacy_codes/recover_open_both_then_home.py	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/saved_scripts/legacy_codes/recover_open_left_then_home.py	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/saved_scripts/legacy_codes/recover_open_right_then_home.py	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/saved_scripts/legacy_codes/reset_open_robot.py	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/saved_scripts/legacy_codes/reset_robot_pose_go_home.py	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/saved_scripts/legacy_codes/run_bottle_pour_then_rack.sh	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/saved_scripts/legacy_codes/run_real_yam.sh	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/saved_scripts/legacy_codes/scripts_failured/analyze_gripper_geometry_rgbd.py	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/saved_scripts/legacy_codes/scripts_failured/analyze_two_dishes_no_motion.py	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/saved_scripts/legacy_codes/scripts_failured/apple_gripper_close_calibration_probe.py	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/saved_scripts/legacy_codes/scripts_failured/drawer_pull_push.py	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/saved_scripts/legacy_codes/scripts_failured/grasp_lift_dish_no_motion_plan.py	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/saved_scripts/legacy_codes/scripts_failured/grasp_lift_dish_physical_once.py	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/saved_scripts/legacy_codes/scripts_failured/grasp_lift_dish_rim_pinch_no_motion_plan.py	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/saved_scripts/legacy_codes/scripts_failured/manual_realtime_console.py	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/saved_scripts/legacy_codes/scripts_failured/one_shot_pick_place_apple_to_basket.py	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/saved_scripts/legacy_codes/scripts_failured/open_green_refrigerator_put_box_inside.py	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/saved_scripts/legacy_codes/scripts_failured/open_green_refrigerator_put_box_inside_physical.py	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/saved_scripts/legacy_codes/scripts_failured/pick_green_apple_from_basket_to_plate.py	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/saved_scripts/legacy_codes/scripts_failured/pick_green_apple_to_basket.py	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/saved_scripts/legacy_codes/scripts_failured/plate_pickup_recovery_home.py	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/saved_scripts/legacy_codes/scripts_failured/pour_bottle_to_green_cup.py	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/saved_scripts/legacy_codes/scripts_failured/visualization_long_run.py	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/saved_scripts/legacy_codes/scripts_failured/yam_runtime_smoke.py	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/saved_scripts/legacy_codes/stack_orange_bowl_into_white_bowl_one_shot_loop.py	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
